01b17291-669b-4674-a836-b81c0b1a91e3,2013-8-31,2013-9-1,2013 Butch Cassidy Cup
941e1d18-70e6-406c-b575-24cca085213d,2013-7-13,2013-7-14,2013 - 1234 Seasons Hat Tournament - Summer 2013 edition
7085d28b-0945-439b-9e38-e25be139ec4a,2024-05-05,2024-05-05,2024 Berlin Spring Hat
62273bf9-4fc8-4db0-9421-566712723ff0,2024-10-06,2024-10-06,2024 Anzio Jam 11
04346073-4de7-45b9-b88b-2b6efca2c093,2023-04-15,2023-04-16,German Championship 2023
7a580544-6088-4718-8317-b80bbbd626a9,2023-08-23,2023-08-26,FPAW 2023
8845c139-03a0-4dc6-a869-145ecb7b430a,2019-11-10,2019-11-10,Aichi Flying Disc Competition
358826fa-c248-46ee-a988-5a30409059eb,2018-9-15,2018-9-15,Warsaw Siren Hat
1f354030-d840-404c-9450-e05e969d2aa1,2024-04-21,2024-04-21,Virginia States 2024 Finals
a76cce09-c46c-40e3-b99a-b1990327d87a,2017-7-15,2016-7-17,2017 Amsterjam
fa43bfff-30dd-4490-a973-45b9bf87a670,2016-4-15,2016-4-17,40th Annual Virginia State Overall Frisbee Tournament
3e67dda1-b6b6-4821-9397-3d7b2a2af71c,2017-2-4,2017-2-4,2017 1234 Seasons Hat Winter
d487e85a-0fdd-4639-bf12-45e1e1d7bf0c,2013-2-23,2013-2-23,2013 Wintershred
60c9e387-ccb6-467e-8e6d-3bbd299943ee,2025-04-04,2025-04-06,YJIW 2025
a5d0954d-ce96-4e1d-af33-753509ca88f0,2023-07-01,2023-07-01,AmsterJAM 2023
ae814186-4948-4abf-b78a-25870b21af7c,2019-7-27,2019-7-27,123 Four Seasons Hat Tournament - Edition Summer 2019
526fca33-f880-4f1f-9c65-f6fd19e984d5,2016-7-24,2016-7-24,JFDA All Japan
c317df6d-bd26-4e85-ae41-1f47203d32eb,2024-10-12,2024-10-12,2024 Berlin Hat October/Fall
55da319d-eb06-4f48-bfda-135606ed4c8a,2015-10-3,2015-10-4,2015 Anzio Jam
b011cfbe-9109-4ce6-b3a8-295343ac874d,2024-05-18,2024-05-23,Tymek test may 2024
f9fdbe44-3ef9-4fb6-83b0-70133a70c66b,2023-05-13,2023-05-14,Anzio Spring Jam 2
3f1d0050-bc2b-457b-b96f-8746cc676044,2018-8-16,2018-8-16,2018 Sandslash - 10th Edition
4468ab03-a4de-4eb5-9739-9cfd0450e3c7,2024-05-12,2024-05-12,2024 Anzio Spring Jam 3
2b4d9a12-7751-41c1-89f6-86b172bfab46,2013-10-5,2013-10-5,123 Four Seasons Hat - Edition Fall 2013
2870dffd-37e8-4bba-ad00-aed6460b017c,2019-4-26,2019-4-26,2019 Virginia States
19ee7186-ccc7-4040-96a9-6b2a32c2d2d2,2014-10-4,2014-10-5,2014 Anzio Jam
64e39d2f-b452-4240-9bb8-a11e48532679,2022-01-01,2022-01-01,JEM2022
96354a94-7d22-42ca-a3c9-c0c5dfbb60ad,2013-7-22,2013-7-27,2013 - WFDF
8ded4b27-44ff-4615-beeb-25f7eb86eb55,2023-07-01,2023-07-01,Munich Mash 2023
3444b532-4c3c-459e-81b2-591f296fa0e6,2018-8-18,2018-8-18,2018 Kova #5 Tournament (Summer Edition)
900616f7-13b1-401f-ac24-21340cdca582,2020-2-8,2020-2-8,123 Four Seasons Hat Tournament - Edition Winter 2020
94fa2697-3b98-4ae0-9e43-3d7a3040e042,2024-02-10,2024-02-10,2024 Autumn Berlin Hat
53b23991-26fd-4c7d-8a3e-3962c6ae018a,2018-6-2,2018-6-2,2018 Capocotta
7e5c9b8e-30f9-41eb-9c50-97a7371e43d1,2017-10-21,2017-10-21,123 Four Season Hat Tournament - Edition Fall 2017
b73a9574-4726-4d96-9f68-34139cec0fe5,2016-5-22,2016-5-22,2016 The Jammers
56b8911a-ea87-427a-b1c0-0ac9a83e1dcf,2024-04-13,2024-04-14,The Jam Session 2024
cdb94582-63d4-413b-9445-f3b0763b8c27,2018-8-17,2017-8-20,2017 Sandslash
b1923f3b-ef39-4a9f-9d08-a0a0973f877d,2019-5-17,2019-5-17,2019 The Jammers
6424aec9-09af-4bfe-8012-0523fbdd5f19,2022-10-09,2022-10-09,Anzio Jam 9
7bf611ea-8608-4a7b-a814-300101584fe0,2015-4-24,2015-4-26,2015 Jampionsleague
f5a5775f-44ba-4e8a-960c-d037490be124,2013-5-25,2013-5-26,2013 - The Jammers
c069f0af-c365-4ed1-8e97-7ed33f8094d1,2015-6-20,2015-6-21,40th Annual Wisconsin State Overall Flying Disc Tournament
3f337f4a-f3a7-4b91-b068-02765ab84702,2016-3-26,2016-3-26,2016 Paganello
fa9a007f-20d2-4f74-83e4-fe14d7ec0333,2016-1-2,2016-1-2,1234-Seasons-Hat-Tournament - Edition Winter 2016
c26fb9f7-1b15-480a-9695-9c9fe7f8b1e1,2023-07-01,2023-07-01,Viking Hat 2023
2d5d392e-62c0-42ba-b9d5-177eabf15fa9,2018-10-7,2018-10-7,2018 Anzio Jam
74f3d87e-f420-408e-bd99-918e58f20994,2022-03-22,2022-03-22,2022 YJIW March 22
f83b0fcf-1fe2-42ed-8471-44e14b07c86d,2017-3-3,2017-3-5,2017 Frisbeer Cup
d0da6877-24d8-49cd-afc2-45918a898f0e,2016-9-18,2016-9-18,Walk the Plank Hat Tournament
1bae10ba-ca92-463e-b854-d69ec3c5a035,2018-10-6,2018-10-6,Beachstylers 2018
c8af8881-8680-46f5-a7fc-e9da7e3879df,2023-03-23,2023-03-23,2023 Your Jam is Waiting
02017201-535b-4a99-846d-9395c971f53f,2023-07-01,2023-07-01,2023 Berlin Summer Hat Tournament
730cf461-611f-4fe3-933f-b1e265968f4f,2024-08-14,2024-08-17,FPAW 2024 WORLDS
85d4356f-085c-4d29-93c2-c5d56d73eaa5,2023-04-01,2023-04-01,Virginia 2023
