1067,2000-06-24,2000-06-25,"2000 Riverfest",2000-riverfest
1068,2000-06-24,2000-06-25,"2000 Colorado States",2000-colorado-states
1069,2000-07-01,2000-07-02,"2000 Summerfest Flying Disc Championships",2000-summerfest-flying-disc-championships
1070,2000-07-13,2000-07-15,"2000 Masters Flying Disc Championships",2000-masters-flying-disc-championships
1071,2000-07-28,2000-07-30,"2000 FPA World Championships",2000-fpa-world-championships
1072,2000-08-12,2000-08-13,"2000 Swedish National Championships",2000-swedish-national-championships
1073,2000-08-19,2000-08-20,"2000 Wisconsin States",2000-wisconsin-states
1074,2000-08-17,2000-08-17,"2000 World Beach Invitational",2000-world-beach-invitational
1075,2000-09-16,2000-09-17,"2000 Jammers Championships",2000-jammers-championships
1076,2000-09-24,2000-09-25,"2000 TN States",2000-tn-states
1077,2000-10-28,2000-10-29,"2000 Tampico Open",2000-tampico-open
1078,2000-11-11,2000-11-12,"2000 AZ States",2000-az-states
1079,2005-08-03,2005-08-06,"2005 Swedish Overall Championships",2005-swedish-overall-championships
1080,2004-08-21,2004-08-21,"2004 29th WI State Overall",2004-29th-wi-state-overall
1081,2005-03-06,2005-03-06,"2005 Wintershred IV",2005-wintershred-iv
1082,2005-10-29,2005-10-30,"2005 Vola Vola",2005-vola-vola
1083,2005-08-06,2005-08-07,"2005 - A Gathering of the Tribe, Narragannsett, RI",2005-a-gathering-of-the-tribe-narragannsett-ri
1084,2005-04-29,2005-05-01,"2005 Flying Disc Opening - Podersdorf (A)",2005-flying-disc-opening-podersdorf-a
1085,2005-07-04,2005-07-06,"2005 Dictivity #9",2005-dictivity-9
1086,2005-06-18,2005-06-19,"2005 AmsterJam , the European Freestyle Championships",2005-amsterjam-the-european-freestyle-championships
1087,2005-10-05,2005-10-09,"2005 BulaFLOW Freestyle Challenge",2005-bulaflow-freestyle-challenge
1088,2005-08-13,2005-08-13,"2005-My Old Kentucky Jam",2005-my-old-kentucky-jam
1089,2005-10-08,2005-10-09,"2005 Roma Shred",2005-roma-shred
1090,2005-09-23,2005-09-24,"2005 Versilia Cup - Burla Beach Cup",2005-versilia-cup-burla-beach-cup
1091,2005-09-03,2005-09-04,"2005 JamÂ´nÂ´Go",2005-jama-na-go
1092,1999-02-13,1999-02-13,"1999 Wintertime Open",1999-wintertime-open
1093,1999-02-06,1999-02-06,"1999 Slovak Freestyle Contest",1999-slovak-freestyle-contest
1094,1999-03-06,1999-03-07,"1999 Indoor Championships - Jackson Hole",1999-indoor-championships-jackson-hole
1095,1999-04-02,1999-04-05,"1999 Paganello - Rimini, Italy",1999-paganello-rimini-italy
1096,1999-04-17,1999-04-17,"1999 Virginia States",1999-virginia-states
1097,1999-04-24,1999-04-24,"1999 23rd Rhode Island State Flying Disc Championships",1999-23rd-rhode-island-state-flying-disc-championships
1098,1999-05-22,1999-05-23,"1999 New England Freestyle Champs",1999-new-england-freestyle-champs
1099,1999-06-12,1999-06-12,"1999 Narragansett Freestyle Championships",1999-narragansett-freestyle-championships
1100,1999-06-12,1999-06-13,"1999 Swedish Championships",1999-swedish-championships
1101,1999-06-12,1999-06-13,"1999 Manresa State Beach",1999-manresa-state-beach
1102,1999-06-22,1999-06-26,"1999 Masters Overall Championships",1999-masters-overall-championships
1103,1999-06-27,1999-06-27,"1999 Summerfest - Milwaukee",1999-summerfest-milwaukee
1104,1999-06-19,1999-06-19,"1999 Kalmar Frisbee Klubb Championships",1999-kalmar-frisbee-klubb-championships
1105,1999-07-14,1999-07-17,"1999 WFDF Championships",1999-wfdf-championships
1106,1999-08-01,1999-08-01,"1999 IA States",1999-ia-states
1107,1999-08-28,1999-08-28,"1999 CT States",1999-ct-states
1108,2006-05-20,2006-05-21,"2006 German Freestyle Disc Championships",2006-german-freestyle-disc-championships
1109,1999-08-28,1999-08-30,"1999 FPA Worlds  - Santa Cruz",1999-fpa-worlds-santa-cruz
1110,1999-09-18,1999-09-19,"1999 Ventura Beach Tournament",1999-ventura-beach-tournament
1111,1999-10-09,1999-10-09,"1999 NY States - Mt. Kisco",1999-ny-states-mt-kisco
1112,1999-11-13,1999-11-14,"1999 AZ States - Scottsdale",1999-az-states-scottsdale
1113,1999-10-23,1999-10-24,"1999 Jammers Championship - Jacksonville",1999-jammers-championship-jacksonville
1114,1999-10-09,1999-10-09,"1999 World Junior Frisbee Disc Championships",1999-world-junior-frisbee-disc-championships
1115,2005-12-10,2005-12-11,"2005 Tournament of the Hat - Torneo del Cappello",2005-tournament-of-the-hat-torneo-del-cappello
1116,2006-04-08,2006-04-10,"2006 CostaBrava Tournement",2006-costabrava-tournement
1117,2006-04-13,2006-04-17,"2006 Paganello",2006-paganello
1118,2006-04-30,2006-05-01,"2006 Podersdorf Austria Freestyle Pairs and Turboshred event",2006-podersdorf-austria-freestyle-pairs-and-turboshred-event
1119,2006-05-27,2006-05-28,"2006 The Jammers",2006-the-jammers
1120,1997-08-04,1997-08-10,"1997 WFDF World Championships",1997-wfdf-world-championships
1121,1997-07-26,1997-07-27,"1997 World Masters Overall Championships",1997-world-masters-overall-championships
1122,1997-07-26,1997-07-26,"1997 Iowa States",1997-iowa-states
1123,1997-08-20,1997-08-20,"1997 Oklahoma States",1997-oklahoma-states
1124,1997-09-06,1997-09-07,"1997 Tennessee States",1997-tennessee-states
1125,1997-09-13,1997-09-14,"1997 Tampico Open",1997-tampico-open
1126,1997-09-28,1997-09-28,"1997  California States/Indian Summer",1997-california-statesindian-summer
1127,1997-09-28,1997-09-28,"1997  New England Flying Disc Championships at Normandy Farms",1997-new-england-flying-disc-championships-at-normandy-farms
1128,1997-10-04,1997-10-05,"1997  Florida States",1997-florida-states
1129,2006-02-17,2006-02-20,"2006 Puerto Rico Winter Jam",2006-puerto-rico-winter-jam
1130,1995-01-05,1995-01-08,"1995 New Zealand Flying Disc Championships",1995-new-zealand-flying-disc-championships
1131,1995-02-04,1995-02-04,"1995 New England Indoor Flying Disc Festival",1995-new-england-indoor-flying-disc-festival
1132,1995-02-12,1995-02-12,"1995 Seattle Monthly #1",1995-seattle-monthly-1
1133,1995-02-12,1995-02-12,"1995 Seattle Monthly #2",1995-seattle-monthly-2
1134,1995-02-19,1995-02-19,"1995 Wintertime Open",1995-wintertime-open
1135,1995-04-09,1995-04-09,"1995 Virginia States",1995-virginia-states
1136,1995-04-29,1995-04-29,"1995 Manassas Monthly #1",1995-manassas-monthly-1
1137,1995-05-13,1995-05-13,"1995 La Mirada Spring Overall",1995-la-mirada-spring-overall
1138,1995-05-24,1995-05-24,"1995 Manassas Monthly #2",1995-manassas-monthly-2
1139,1995-05-27,1995-05-28,"1995 Octad/Pennsylvania States",1995-octadpennsylvania-states
1140,1995-05-27,1995-05-28,"1995 Swedish Qualifications #1",1995-swedish-qualifications-1
1141,1995-07-15,1995-07-16,"1995 Swedish Qualifications #2",1995-swedish-qualifications-2
